PART_KEYWORD,PART_NUMBER,BUCKET_TYPE,PART_COST_AMT,PART_PRICE_AMT,PART_QTY,COST,MODULE,Work order,ESN,GATE_NUMBER,SHOP_NAME,SHOP_VISIT_TYPE_NAME,CURRENT_GATE_DESC,ENG_MODEL_NM,COST_IND,INCL_QUANTITY,EXCL_QUANTITY,INCL_PRICE,EXCL_PRICE,INCL_COST,EXCL_COST,TYPE,FM_YEAR,EXCL_TYPE,COMMENTS,ESC_TRUE_GE_COST_AMT,PART_TRUE_COST_AMT
VANE - BOOSTER STG 1,340-001-308-0,Non LLP New Material,0,0,0,0,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.037500001,-0.037500001,0,0,0,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 1,340-001-308-0,Non LLP Used Material,0,0,0,0,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.0125,-0.0125,0,0,0,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 2,340-057-201-0,External Repair,0,0,0,0,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 2,340-057-201-0,Internal Repair,1375.99,4943.21,67.0138,1375.99,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,67.01376343,0,4943.21392,0,1375.98971,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 2,340-057-201-0,Non LLP New Material,2439.09,4323.45,2.775,2439.09,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,2.775000095,0,3964.11329,0,2439.093506,0,BUM,2014,Scrap,,857.06,
BLADE - BOOSTER STG 2,340-057-201-0,Non LLP Used Material,924.96,924.96,0.925,924.96,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.925000012,0,924.959829,0,924.959829,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 2,335-192-202-0,External Repair,0,0,0,0,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 2,335-192-202-0,Internal Repair,3923.58,14095.38,0.8533,3923.58,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.853274465,0,14095.37697,0,3923.583848,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 2,335-192-202-0,Non LLP New Material,1273.27,6022.5,0.0375,1273.27,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.037500001,0,5521.871262,0,1273.273971,0,BUM,2014,Scrap,,1193.63,
VANE - BOOSTER STG 2,335-192-202-0,Non LLP Used Material,1288.44,1288.44,0.0125,1288.44,21X,P70311,895364,1,Wales,NTE,Gate 2,CFM56-7,A,0.0125,0,1288.436628,0,1288.436628,0,BUM,2014,Scrap,,,
